NAME,CODE,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016
Paris,75,2867.5,3137.5,3410,3840,4362.5,4982.5,5552.5,6057.5,6485,6157.5,6860,8145,8327.5,8230,8080,7947.5,8000
Hauts-de-Seine,92,2137.5,2307.5,2512.5,2845,3257.5,3730,4142.5,4450,4592.5,4315,4685,5265,5387.5,5332.5,5275,5162.5,5140
Seine-Saint-Denis,93,1192.5,1275,1397.5,1580,1872.5,2285,2695,2917.5,2960,2787.5,2977.5,3245,3275,3242.5,3207.5,3142.5,3110
Val-de-Marne,94,1675,1795,1977.5,2232.5,2620,3080,3505,3707.5,3782.5,3560,3830,4217.5,4277.5,4240,4192.5,4102.5,4070
Seine-et-Marne,77,1200,1285,1392.5,1542.5,1792.5,2137.5,2530,2677.5,2700,2522.5,2647.5,2762.5,2755,2717.5,2637.5,2572.5,2520
Yvelines,78,1770,1910,2047.5,2287.5,2615,3015,3335,3527.5,3575,3327.5,3540,3850,3897.5,3830,3752.5,3620,3600
Essonne,91,1212.5,1272.5,1355,1517.5,1792.5,2160,2542.5,2660,2682.5,2495,2625,2772.5,2767.5,2722.5,2640,2565,2530
Val-d'Oise,95,1140,1220,1315,1480,1755,2125,2492.5,2667.5,2720,2537.5,2675,2827.5,2822.5,2790,2707.5,2627.5,2600
Euros,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Once d'or,,257.69,242.7,293.13,411.74,508.77,553.63,758.4,955.22,1282.5,1358.5,1625.3,2186.72,2144.31,1876.63,1681.88,1287.04,1350.75
Once d'argent,,4.62,3.58,4.73,5.66,8.71,8.71,15.07,17.82,22.06,20.92,26.51,48.72,39.83,31.87,25.24,17.75,17.83
RSA (ou RMI),,389.1,398.2,405.6,411.7,417.9,425.4,433.1,440.9,447.9,454.6,460.1,467,474.9,492.9,509.3,524.2,535.17
Milliardième de la masse M3,,4723.3,5026.8,5430.3,5805.9,6172.4,6581.6,7120.5,7825.2,8786.1,9400,9325.4,9308,9484,9759,9898,10438,10909
