NAME,CODE,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015
Euros,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Once d'or,,257.69,242.7,293.13,411.74,508.77,553.63,758.4,955.22,1282.5,1358.5,1625.3,2186.72,2144.31,1876.63,1681.88,1287.04
Once d'argent,,4.62,3.58,4.73,5.66,8.71,8.71,15.07,17.82,22.06,20.92,26.51,48.72,39.83,31.87,25.24,17.75
RSA (ou RMI),,389.1,398.2,405.6,411.7,417.9,425.4,433.1,440.9,447.9,454.6,460.1,467,474.9,492.9,509.3,524.2
Milliardième de la masse M3,,4723.3,5026.8,5430.3,5805.9,6172.4,6581.6,7120.5,7825.2,8786.1,9400,9325.4,9308,9484,9759,9898,10438
ALSACE,42,1679,1750,1799,1894,2037,2269,2440,2615,2684,2732,2784,3078,3131,3129,3300,3238
AQUITAINE,72,1766,1858,1813,2137,2342,2529,2871,2992,2991,3137,3284,3469,3580,3613,3603,3624
AUVERGNE,83,1546,1691,1706,1960,2068,2468,2458,2621,2443,2511,2642,2954,2940,2926,2941,3046
BASSE NORMANDIE,25,1811,1808,1854,2082,2091,2424,2670,2887,3210,3196,3416,3446,3601,3682,3763,3369
BOURGOGNE,26,1573,1642,1732,1881,2028,2217,2443,2497,2635,2722,2776,2789,2811,2861,2949,3024
BRETAGNE,53,1696,1753,1858,1985,2121,2283,2460,2739,2776,2769,2862,3123,3096,3166,3209,3213
CENTRE-VAL DE LOIRE,24,1680,1732,1840,2025,2107,2346,2466,2666,2807,2808,2967,3078,3183,3176,3078,3034
CHAMPAGNE-ARDENNE,21,1585,1536,1619,1771,1940,2172,2228,2673,2788,2739,2977,3168,3172,3305,3151,3314
CORSE,94,1632,1643,1750,1955,2196,2382,2591,3005,2990,3012,3199,3168,3376,3499,3439,3581
FRANCHE COMTE,43,1422,1511,1651,1829,2005,2160,2354,2375,2391,2572,2706,2716,2839,2776,2952,2874
HAUTE NORMANDIE,23,1786,1806,1810,1988,2063,2329,2622,2821,2910,2872,2960,3182,3163,3210,3148,3229
ILE DE FRANCE,11,2671,2810,2991,2977,3213,3690,4126,4133,4141,4176,4550,4932,4842,4676,4707,4754
LANGUEDOC-ROUSSILLON,91,1630,1747,1971,2162,2332,2716,2901,3103,3138,3226,3262,3366,3490,3612,3562,3699
LIMOUSIN,74,1548,1554,1655,1754,1967,2329,2492,2579,2555,2515,2627,2642,2623,2530,2664,2866
LORRAINE,41,1554,1577,1664,1770,1949,2109,2203,2304,2365,2408,2532,2684,2645,2690,2678,2931
MIDI-PYRENEES,73,1678,1773,1954,2055,2258,2525,2747,2936,3016,3042,3297,3378,3418,3441,3375,3377
NORD-PAS-DE-CALAIS,31,1796,1812,1835,1939,2183,2417,2675,2894,3007,3013,3165,3226,3079,3157,3157,3227
PAYS DE LA LOIRE,52,1792,1810,1942,2083,2381,2620,2719,2905,3033,3001,3160,3416,3366,3437,3444,3496
PICARDIE,22,1802,1788,1831,1929,1938,2258,2433,2812,2818,2984,3033,3385,3186,3104,2991,3113
POITOU-CHARENTES,54,1728,1787,2102,2019,2162,2367,2520,2903,3008,3025,3537,3454,3591,3813,3725,3640
PROVENCE-ALPES-COTE D AZUR,93,2148,2345,2578,2805,3191,3565,3739,3968,3951,3870,4024,4184,4328,4233,4006,4186
RHONE-ALPES,82,1780,1859,2010,2250,2579,2873,3110,3440,3349,3376,3551,3733,3709,3713,3759,3851
